coordinate_S,serial_abc,phase0_position,phase1_position,phase2_position,delta1_a_minus_b,delta2_b_minus_c,delta3_c_minus_a
1,100,1,2,2,1,0,-1
2,011,2,1,1,-1,0,1
3,111,3,3,3,0,0,0
4,211,4,5,5,1,0,-1
5,122,5,4,4,-1,0,1
6,222,6,6,6,0,0,0
7,313,7,9,7,2,-2,0
8,341,8,7,10,-1,3,-2
9,324,9,10,8,1,-2,1
10,352,10,8,11,-2,3,-1
11,335,11,11,9,0,-2,2
12,444,12,12,12,0,0,0
13,553,13,13,15,0,2,-2
14,545,14,15,14,1,-1,0
15,456,15,14,13,-1,-1,2
16,646,16,18,16,2,-2,0
17,674,17,16,19,-1,3,-2
18,657,18,19,17,1,-2,1
19,685,19,17,20,-2,3,-1
20,668,20,20,18,0,-2,2
21,777,21,21,21,0,0,0
22,877,22,23,23,1,0,-1
23,788,23,22,22,-1,0,1
24,888,24,24,24,0,0,0
25,988,25,26,26,1,0,-1
26,899,26,25,25,-1,0,1
